2023-06-12 12:08:18 | INFO     | DF | Running on device cuda:0
2023-06-12 12:08:18 | INFO     | DF | Model loaded
2023-06-12 12:09:40 | INFO     | DF | Loading model settings of DeepFilterNet3
2023-06-12 12:09:40 | INFO     | DF | Initializing model `deepfilternet3`
2023-06-12 12:09:40 | INFO     | DF | Found checkpoint DeepFilterNet3/checkpoints/model_120.ckpt.best with epoch 120
2023-06-12 12:09:40 | INFO     | DF | Running on device cuda:0
2023-06-12 12:09:40 | INFO     | DF | Model loaded
2023-06-12 12:10:08 | INFO     | DF | Loading model settings of DeepFilterNet3
2023-06-12 12:10:08 | INFO     | DF | Initializing model `deepfilternet3`
2023-06-12 12:10:08 | INFO     | DF | Found checkpoint DeepFilterNet3/checkpoints/model_120.ckpt.best with epoch 120
2023-06-12 12:10:08 | INFO     | DF | Running on device cuda:0
2023-06-12 12:10:08 | INFO     | DF | Model loaded
2023-06-12 12:10:54 | INFO     | DF | Loading model settings of DeepFilterNet3
2023-06-12 12:10:54 | INFO     | DF | Initializing model `deepfilternet3`
2023-06-12 12:10:55 | INFO     | DF | Found checkpoint DeepFilterNet3/checkpoints/model_120.ckpt.best with epoch 120
2023-06-12 12:10:55 | INFO     | DF | Running on device cuda:0
2023-06-12 12:10:55 | INFO     | DF | Model loaded
2023-06-12 12:13:33 | INFO     | DF | Loading model settings of DeepFilterNet3
2023-06-12 12:13:33 | INFO     | DF | Initializing model `deepfilternet3`
2023-06-12 12:13:33 | INFO     | DF | Found checkpoint DeepFilterNet3/checkpoints/model_120.ckpt.best with epoch 120
2023-06-12 12:13:33 | INFO     | DF | Running on device cuda:0
2023-06-12 12:13:33 | INFO     | DF | Model loaded
2023-06-12 12:19:03 | INFO     | DF | Loading model settings of DeepFilterNet3
2023-06-12 12:19:03 | INFO     | DF | Initializing model `deepfilternet3`
2023-06-12 12:19:03 | INFO     | DF | Found checkpoint DeepFilterNet3/checkpoints/model_120.ckpt.best with epoch 120
2023-06-12 12:19:03 | INFO     | DF | Running on device cuda:0
2023-06-12 12:19:03 | INFO     | DF | Model loaded
2023-06-12 12:19:43 | INFO     | DF | Loading model settings of DeepFilterNet3
2023-06-12 12:19:43 | INFO     | DF | Initializing model `deepfilternet3`
2023-06-12 12:19:44 | INFO     | DF | Found checkpoint DeepFilterNet3/checkpoints/model_120.ckpt.best with epoch 120
2023-06-12 12:19:44 | INFO     | DF | Running on device cuda:0
2023-06-12 12:19:44 | INFO     | DF | Model loaded
